STATION,STATION_NAME,DATE,HPCP
COOP:170100,ACADIA NATIONAL PARK ME US,20051001 01:00,0.00
COOP:170100,ACADIA NATIONAL PARK ME US,20051001 15:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 00:00,0.30
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 01:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 03:00,0.40
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 04:00,0.30
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 05:00,0.40
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 06:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 07:00,0.40
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 08:00,0.30
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 09:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 10:00,0.30
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 11:00,0.60
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 13:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 14:00,0.30
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 15:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 16:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 17:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 19:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 20:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 21:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 22:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051008 23:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051009 00:00,0.30
COOP:170100,ACADIA NATIONAL PARK ME US,20051009 01:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051009 02:00,0.30
COOP:170100,ACADIA NATIONAL PARK ME US,20051009 03:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051009 04:00,0.40
COOP:170100,ACADIA NATIONAL PARK ME US,20051009 05:00,0.40
COOP:170100,ACADIA NATIONAL PARK ME US,20051009 06:00,0.60
COOP:170100,ACADIA NATIONAL PARK ME US,20051009 07:00,0.50
COOP:170100,ACADIA NATIONAL PARK ME US,20051009 08:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051009 09:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051009 13:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051009 17:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051009 21:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051010 04:00,0.10
