STATION,STATION_NAME,DATE,HPCP
COOP:176905,PORTLAND JETPORT ME US,20000214 06:00,0.08
COOP:176905,PORTLAND JETPORT ME US,20000214 07:00,0.12
COOP:176905,PORTLAND JETPORT ME US,20000214 08:00,0.10
COOP:176905,PORTLAND JETPORT ME US,20000214 10:00,0.03
COOP:176905,PORTLAND JETPORT ME US,20000214 11:00,0.11
COOP:176905,PORTLAND JETPORT ME US,20000214 12:00,0.13
COOP:176905,PORTLAND JETPORT ME US,20000214 13:00,0.13
COOP:176905,PORTLAND JETPORT ME US,20000214 14:00,0.04
COOP:176905,PORTLAND JETPORT ME US,20000214 15:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000214 16:00,0.03
COOP:176905,PORTLAND JETPORT ME US,20000214 17:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000215 04:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000215 05:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000215 06:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000215 07:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000215 08:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000216 10:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000216 11:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000216 12:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000216 13:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000216 14:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000216 17:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000218 15:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000218 16:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000218 17:00,0.02
COOP:176905,PORTLAND JETPORT ME US,20000218 18:00,0.03
COOP:176905,PORTLAND JETPORT ME US,20000218 19:00,0.04
COOP:176905,PORTLAND JETPORT ME US,20000218 20:00,0.02
COOP:176905,PORTLAND JETPORT ME US,20000218 21:00,0.03
COOP:176905,PORTLAND JETPORT ME US,20000218 22:00,0.05
COOP:176905,PORTLAND JETPORT ME US,20000218 23:00,0.03
COOP:176905,PORTLAND JETPORT ME US,20000219 00:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000219 01:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000219 02:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000219 03:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000219 04:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000219 05:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000219 06:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000219 07:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000219 08:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000219 09:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000219 10:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000219 11:00,0.02
COOP:176905,PORTLAND JETPORT ME US,20000219 12:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000219 13:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000219 14:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000220 03:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000220 04:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000220 05:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000220 06:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000220 07:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000220 09:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000220 10:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000220 11:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000220 12:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000224 16:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000224 17:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000224 18:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000224 23:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000225 00:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000225 01:00,0.04
COOP:176905,PORTLAND JETPORT ME US,20000225 02:00,0.04
COOP:176905,PORTLAND JETPORT ME US,20000225 03:00,0.03
COOP:176905,PORTLAND JETPORT ME US,20000225 04:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000225 05:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000225 06:00,0.02
COOP:176905,PORTLAND JETPORT ME US,20000225 07:00,0.03
COOP:176905,PORTLAND JETPORT ME US,20000225 08:00,0.03
COOP:176905,PORTLAND JETPORT ME US,20000225 09:00,0.04
COOP:176905,PORTLAND JETPORT ME US,20000225 10:00,0.03
COOP:176905,PORTLAND JETPORT ME US,20000225 11:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000225 12:00,0.02
COOP:176905,PORTLAND JETPORT ME US,20000225 13:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000225 14:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000225 15:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000225 16:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000225 17:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000226 03:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000226 04:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000226 16:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000226 18:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000226 21:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000226 22:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000228 05:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000228 06:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000228 10:00,0.05
COOP:176905,PORTLAND JETPORT ME US,20000228 11:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000228 12:00,0.07
COOP:176905,PORTLAND JETPORT ME US,20000228 13:00,0.05
COOP:176905,PORTLAND JETPORT ME US,20000228 14:00,0.03
COOP:176905,PORTLAND JETPORT ME US,20000228 15:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000228 16:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000228 17:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000228 18:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000229 01:00,0.00
